date,dateymd,status,Total,Andaman & Nicobar Island,Andhra Pradesh,Arunanchal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Daman & Diu,NCT of Delhi,Dadara & Nagar Havelli,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu & Kashmir,Karnataka,Kerala,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
11-Apr-20,2020-04-11,Confirmed,854,0,24,0,0,4,0,7,0,166,0,0,90,4,3,3,17,8,10,0,187,0,0,78,0,0,4,7,0,139,0,16,58,0,19,0,10
12-Apr-20,2020-04-12,Confirmed,758,0,15,0,1,0,2,6,0,85,0,0,48,0,16,2,21,17,2,0,221,0,0,33,0,0,0,12,0,104,0,28,106,0,31,0,8
13-Apr-20,2020-04-13,Confirmed,1243,0,19,0,2,2,0,0,0,356,0,0,56,0,1,5,25,15,3,0,352,1,0,52,0,0,1,6,0,93,0,61,98,0,75,0,18
14-Apr-20,2020-04-14,Confirmed,1031,0,45,0,1,0,0,2,0,51,0,0,78,1,2,3,8,13,8,0,346,0,0,127,0,0,5,8,0,108,0,52,31,0,102,2,38
15-Apr-20,2020-04-15,Confirmed,886,0,41,0,0,6,0,0,0,17,0,0,116,2,6,1,22,19,1,0,236,6,0,197,0,0,0,2,0,71,0,6,38,0,75,0,23
16-Apr-20,2020-04-16,Confirmed,1061,0,9,0,2,11,0,3,0,62,0,0,163,0,11,1,14,36,7,0,285,2,0,226,0,0,0,11,0,55,0,50,25,0,70,0,18
17-Apr-20,2020-04-17,Confirmed,922,1,38,0,0,2,0,0,0,67,0,0,170,3,8,3,14,44,1,0,120,0,0,146,0,0,0,14,0,98,0,66,56,0,44,3,24
18-Apr-20,2020-04-18,Confirmed,1371,2,31,0,0,1,2,0,0,186,0,0,277,1,9,1,13,25,4,0,327,2,0,92,0,0,1,23,0,122,0,43,49,0,126,2,32
19-Apr-20,2020-04-19,Confirmed,1580,1,44,0,0,10,3,0,0,110,0,0,367,0,18,8,13,6,2,0,552,0,0,5,0,0,0,10,0,127,0,49,105,0,125,2,23
20-Apr-20,2020-04-20,Confirmed,1239,1,75,0,0,17,0,0,0,78,0,0,196,0,1,5,14,18,6,0,466,0,0,78,0,0,13,1,0,98,0,14,43,0,84,2,29
21-Apr-20,2020-04-21,Confirmed,1537,1,35,0,0,13,1,0,0,75,0,0,239,0,4,0,12,10,19,0,552,1,0,67,0,0,5,6,0,159,0,56,76,0,153,0,53
22-Apr-20,2020-04-22,Confirmed,1292,1,56,0,0,17,0,0,0,92,0,0,229,0,9,0,27,9,11,0,431,0,0,35,0,0,4,27,0,153,0,15,33,0,112,0,31
